frame,id,x,y,w,h
0,0,424,317,26,45
0,1,164,247,19,38
0,2,684,409,38,44
0,3,111,257,16,41
0,4,179,362,18,53
0,5,926,406,20,55
0,6,388,184,12,29
0,7,638,196,15,35
0,8,950,188,10,34
0,9,497,227,16,37
0,10,187,153,12,30
0,11,786,306,20,43
0,12,295,295,20,42
0,13,615,216,17,35
0,14,571,362,29,38
0,15,154,113,10,23
0,16,580,177,13,29
0,17,388,209,13,35
0,18,592,426,10,10
0,19,473,111,11,26
1,0,633,232,23,40
1,1,164,247,19,38
1,2,304,349,30,47
1,3,111,257,16,41
1,4,179,362,18,53
1,5,926,406,20,55
1,6,388,184,12,29
1,7,454,182,15,33
1,8,950,188,10,34
1,9,497,227,16,37
1,10,187,153,12,30
1,11,786,306,20,43
1,12,536,348,24,43
1,13,615,216,17,35
1,14,571,362,29,38
1,15,154,113,10,23
1,16,580,177,13,29
1,17,388,209,13,35
1,18,592,426,10,10
1,19,473,111,11,26
1,20,654,224,21,35
1,21,638,196,15,35
1,22,561,354,28,44
2,0,278,375,26,41
2,1,164,247,19,38
2,2,240,339,23,48
2,3,111,257,16,41
2,4,179,362,18,53
2,5,926,406,20,55
2,6,388,184,12,29
2,7,844,567,38,36
2,8,950,188,10,34
2,9,497,227,16,37
2,10,187,151,13,30
2,11,786,306,20,43
2,12,126,257,20,42
2,13,615,216,17,35
2,14,571,362,29,38
2,15,154,113,10,23
2,16,580,177,13,29
2,17,388,209,13,35
2,18,592,426,10,10
2,19,473,111,11,26
2,20,654,224,21,35
2,21,454,182,15,33
2,22,561,354,28,44
2,23,639,196,15,36
3,0,312,367,24,42
3,1,165,247,17,38
3,2,245,341,20,48
3,3,111,257,17,41
3,4,179,362,19,53
3,5,924,406,21,55
3,6,388,184,12,29
3,7,813,536,43,39
3,8,950,188,10,34
3,9,498,227,16,37
3,10,187,153,12,30
3,11,789,307,20,42
3,12,162,266,17,42
3,13,615,216,18,35
3,14,578,366,26,36
3,15,154,113,10,23
3,16,583,177,13,29
3,17,388,210,14,34
3,18,592,426,10,10
3,19,473,111,11,26
3,20,654,224,23,35
3,21,424,180,15,31
3,22,561,355,30,43
3,23,639,196,15,36
3,24,599,431,9,9
3,25,565,362,37,39
4,0,350,357,21,42
4,1,165,247,17,38
4,2,251,342,19,48
4,3,111,258,17,40
4,4,179,363,19,53
4,5,924,406,21,55
4,6,388,184,12,29
4,7,781,503,38,41
4,8,951,188,9,34
4,9,498,228,16,37
4,10,187,153,12,30
4,11,791,307,19,42
4,12,200,275,17,41
4,13,615,216,18,35
4,14,582,365,25,36
4,15,155,113,10,23
4,16,586,175,12,29
4,17,388,210,14,34
4,18,592,426,10,10
4,19,473,111,11,26
4,20,655,224,23,35
4,21,429,180,13,31
4,22,561,353,32,43
4,23,639,196,17,36
4,24,599,431,9,9
4,25,565,362,37,39
4,26,548,153,10,27
5,0,376,349,18,42
5,1,166,247,16,38
5,2,255,343,19,48
5,3,112,258,16,40
5,4,177,365,19,53
5,5,924,406,20,55
5,6,386,185,12,29
5,7,759,482,31,41
5,8,951,188,8,34
5,9,499,228,16,37
5,10,185,153,12,30
5,11,792,308,18,44
5,12,227,280,17,41
5,13,616,216,18,35
5,14,583,362,23,36
5,15,155,113,10,23
5,16,585,175,13,29
5,17,388,210,14,34
5,18,592,426,10,10
5,19,473,111,11,26
5,20,656,224,24,35
5,21,434,180,12,30
5,22,561,354,35,43
5,23,639,197,18,36
5,24,599,431,9,9
5,25,565,362,37,39
5,26,548,153,10,27
6,0,395,343,16,42
6,1,168,247,15,38
6,2,259,344,18,48
6,3,112,258,16,40
6,4,177,366,20,53
6,5,924,406,20,55
6,6,386,185,13,29
6,7,740,468,26,42
6,8,951,188,8,34
6,9,500,229,15,36
6,10,185,153,12,30
6,11,794,308,18,45
6,12,244,284,17,41
6,13,619,216,17,35
6,14,583,359,24,38
6,15,155,113,10,23
6,16,586,175,14,29
6,17,388,210,14,34
6,18,592,426,10,10
6,19,473,111,11,26
6,20,657,224,25,35
6,21,438,180,12,30
6,22,564,354,38,43
6,23,640,197,19,36
6,24,599,431,9,9
6,25,574,352,35,42
6,26,548,153,11,27
7,0,409,338,16,43
7,1,169,247,14,38
7,2,261,345,17,48
7,3,113,259,16,40
7,4,177,367,19,53
7,5,924,406,20,55
7,6,386,185,12,29
7,7,777,504,27,42
7,8,951,188,8,34
7,9,501,229,15,36
7,10,185,153,13,30
7,11,796,310,18,46
7,12,258,286,18,41
7,13,621,216,15,35
7,14,585,361,26,38
7,15,155,113,10,23
7,16,587,175,15,29
7,17,388,210,14,34
7,18,592,426,10,10
7,19,473,111,11,26
7,20,663,223,22,35
7,21,441,180,12,30
7,22,568,354,37,42
7,23,641,197,19,36
7,24,599,431,9,9
7,25,711,428,26,42
7,26,548,153,12,27
7,27,608,441,10,8
7,28,579,357,29,47
8,0,418,334,19,43
8,1,170,247,14,38
8,2,263,345,16,48
8,3,114,259,16,40
8,4,177,368,19,53
8,5,924,406,20,55
8,6,386,185,12,30
8,7,813,541,27,42
8,8,952,187,8,34
8,9,503,230,14,36
8,10,185,153,13,30
8,11,798,311,18,47
8,12,268,288,20,42
8,13,623,216,14,35
8,14,582,359,33,40
8,15,156,113,10,23
8,16,588,176,15,29
8,17,388,211,14,33
8,18,592,426,10,10
8,19,475,112,11,25
8,20,667,222,20,35
8,21,443,180,12,31
8,22,577,355,33,42
8,23,641,197,19,36
8,24,599,431,9,9
8,25,714,437,28,43
8,26,548,154,12,26
8,27,608,441,10,8
8,28,579,357,29,47
